OBJECTID,LONGITUDE,LATITUDE
3401744,144.9698,-37.82202
3401745,145.14671,-37.83166
3401746,144.80134,-37.74003
3401747,145.07011,-37.17891
3401748,144.9653,-37.81808
3401749,145.7914,-38.23087
3401750,145.00873,-37.90637
3401751,145.07229,-37.80207
3401752,145.02638,-37.82156
3401753,145.15439,-37.84541
3401754,145.04213,-37.73512
3401755,144.95479,-37.66725
3401756,145.06288,-37.67821
3401757,144.35796,-38.0824
3401758,145.07832,-37.70195
3401759,144.89081,-37.82599
3401760,145.16073,-37.66936
3401761,144.96245,-37.8127
3401762,144.99091,-37.86532
3401763,145.02855,-37.76635
3401764,144.98377,-37.7916
3401765,144.99429,-37.85819
3401766,145.17203,-37.83737
3401767,146.34621,-38.17277
3401768,144.91921,-37.7469
3401769,144.98163,-37.85293
3401770,145.2121,-37.92536
3401771,144.33957,-38.16099
3401772,145.26364,-38.00505
3401773,146.39508,-37.97259
3401774,144.18062,-36.80813
3401775,145.14892,-38.10118
3401776,145.1033,-37.08409
3401777,147.83109,-37.37856
3401778,144.35382,-38.13782
3401779,144.99272,-37.91244
3401780,145.0748,-37.84725
3401781,145.10063,-37.941
3401782,145.30008,-37.80088
3401783,143.83607,-37.52622
3401784,144.76513,-36.14474
3401785,145.38885,-36.44081
3401786,144.88274,-37.83945
3401787,145.21846,-37.59477
3401788,145.2671,-37.91228
3401789,142.19593,-34.23915
3401790,144.95801,-37.68953
3401791,145.21823,-37.99988
3401792,145.16102,-37.88055
3401793,144.91922,-37.63091
3401794,145.12928,-38.1362
3401795,146.25044,-38.1885
3401796,144.06837,-37.83918
3401797,145.28824,-37.8377
3401798,144.91561,-37.82144
3401799,143.84116,-37.59874
3401800,144.74467,-38.3395
3401801,144.99617,-37.88859
3401802,144.99483,-37.79022
3401803,145.21581,-37.99237
3401804,146.15189,-38.21009
3401805,144.36456,-38.14514
3401806,145.03158,-37.99307
3401807,145.24735,-37.803
3401808,144.88809,-37.73424
