﻿Month of ACCIDENT_DATE,SPEED_ZONE,FATALITY
January,40 km/hr,0
January,50 km/hr,1
January,60 km/hr,5
January,70 km/hr,1
January,75 km/hr,0
January,80 km/hr,3
January,90 km/hr,0
January,100 km/hr,9
January,110 km/hr,0
January,Camping grounds or off road,0
January,Not known,0
January,Other speed limit,0
February,30km/hr,0
February,40 km/hr,2
February,50 km/hr,1
February,60 km/hr,2
February,70 km/hr,0
February,80 km/hr,6
February,90 km/hr,0
February,100 km/hr,3
February,110 km/hr,0
February,Camping grounds or off road,0
February,Not known,1
February,Other speed limit,0
March,30km/hr,0
March,40 km/hr,2
March,50 km/hr,2
March,60 km/hr,5
March,70 km/hr,1
March,80 km/hr,1
March,90 km/hr,0
March,100 km/hr,9
March,110 km/hr,1
March,Camping grounds or off road,0
March,Not known,0
March,Other speed limit,0
April,30km/hr,0
April,40 km/hr,0
April,50 km/hr,2
April,60 km/hr,1
April,70 km/hr,0
April,80 km/hr,3
April,90 km/hr,0
April,100 km/hr,2
April,110 km/hr,1
April,Camping grounds or off road,0
April,Not known,0
April,Other speed limit,0
May,30km/hr,0
May,40 km/hr,1
May,50 km/hr,1
May,60 km/hr,3
May,70 km/hr,1
May,80 km/hr,10
May,90 km/hr,0
May,100 km/hr,7
May,110 km/hr,0
May,Camping grounds or off road,0
May,Not known,0
May,Other speed limit,0
June,40 km/hr,0
June,50 km/hr,1
June,60 km/hr,2
June,70 km/hr,1
June,80 km/hr,0
June,90 km/hr,0
June,100 km/hr,7
June,110 km/hr,0
June,Camping grounds or off road,0
June,Not known,1
June,Other speed limit,0
July,40 km/hr,0
July,50 km/hr,2
July,60 km/hr,2
July,70 km/hr,0
July,80 km/hr,6
July,90 km/hr,0
July,100 km/hr,3
July,110 km/hr,1
July,Camping grounds or off road,0
July,Not known,1
July,Other speed limit,0
August,30km/hr,0
August,40 km/hr,1
August,50 km/hr,1
August,60 km/hr,2
August,70 km/hr,3
August,80 km/hr,3
August,90 km/hr,0
August,100 km/hr,7
August,110 km/hr,0
August,Camping grounds or off road,0
August,Not known,1
September,30km/hr,0
September,40 km/hr,0
September,50 km/hr,3
September,60 km/hr,1
September,70 km/hr,0
September,80 km/hr,7
September,90 km/hr,0
September,100 km/hr,8
September,110 km/hr,0
September,Camping grounds or off road,0
September,Not known,0
September,Other speed limit,0
October,30km/hr,0
October,40 km/hr,0
October,50 km/hr,0
October,60 km/hr,3
October,70 km/hr,1
October,80 km/hr,6
October,90 km/hr,0
October,100 km/hr,10
October,110 km/hr,0
October,Camping grounds or off road,0
October,Not known,0
October,Other speed limit,0
November,30km/hr,0
November,40 km/hr,1
November,50 km/hr,0
November,60 km/hr,4
November,70 km/hr,0
November,80 km/hr,6
November,100 km/hr,8
November,110 km/hr,0
November,Camping grounds or off road,0
November,Not known,1
November,Other speed limit,0
December,30km/hr,0
December,40 km/hr,0
December,50 km/hr,3
December,60 km/hr,2
December,70 km/hr,0
December,75 km/hr,0
December,80 km/hr,4
December,90 km/hr,0
December,100 km/hr,3
December,110 km/hr,0
December,Camping grounds or off road,0
December,Not known,0
December,Other speed limit,0
